State,Location,Value
KS,Dickinson County,23.4
KS,Doniphan County,22.4
KS,Douglas County,24.6
KS,Edwards County,21.2
KS,Elk County,26.1
KS,Ellis County,19.6
KS,Ellsworth County,22.3
KS,Finney County,19.8
KS,Ford County,21.4
KS,Franklin County,25.4
KS,Geary County,23.6
KS,Gove County,18.7
KS,Graham County,19
KS,Grant County,20.5
KS,Gray County,20.8
KS,Greeley County,18.3
KS,Greenwood County,25.2
KS,Hamilton County,19.1
KS,Harper County,25.6
KS,Harvey County,23.5
KS,Haskell County,20.7
KS,Hodgeman County,20.7
KS,Jackson County,21.6
KS,Jefferson County,23.2
KS,Jewell County,19.3
KS,Johnson County,24.6
KS,Kearny County,20.1
KS,Kingman County,24.2
KS,Kiowa County,22.1
KS,Labette County,27.9
KS,Lane County,19
KS,Leavenworth County,23.9
KS,Lincoln County,21.1
KS,Linn County,26.2
KS,Logan County,18.8
KS,Lyon County,23.9
KS,McPherson County,23.2
KS,Marion County,23.4
KS,Marshall County,18.8
KS,Meade County,22.1
KS,Miami County,25.2
KS,Mitchell County,20
KS,Montgomery County,27.9
KS,Morris County,23.6
KS,Morton County,22.3
KS,Nemaha County,19.8
KS,Neosho County,27
KS,Ness County,19.7
KS,Norton County,17.8
KS,Osage County,24.8
KS,Osborne County,19.6
KS,Ottawa County,22.4
KS,Pawnee County,20.8
KS,Phillips County,18.4
KS,Pottawatomie County,22.1
KS,Pratt County,22.7
KS,Rawlins County,18.3
KS,Reno County,23.1
KS,Republic County,19.4
KS,Rice County,22.2
KS,Riley County,22.7
KS,Rooks County,19.2
KS,Rush County,20.2
KS,Russell County,20.8
KS,Saline County,23.6
KS,Scott County,19
KS,Sedgwick County,25.4
KS,Seward County,21.7
KS,Shawnee County,23.5
KS,Sheridan County,18.5
KS,Sherman County,18.6
KS,Smith County,18.5
KS,Stafford County,21.4
KS,Stanton County,20.9
KS,Stevens County,21.6
KS,Sumner County,26.3
KS,Thomas County,18
KS,Trego County,19.2
KS,Wabaunsee County,23.3
KS,Wallace County,18.9
KS,Washington County,19.5
KS,Wichita County,19
KS,Wilson County,27.3
KS,Woodson County,26.1
KS,Wyandotte County,24.5
KY,Adair County,30.6
KY,Allen County,31
KY,Anderson County,27.7
KY,Ballard County,29.8
KY,Barren County,30.2
KY,Bath County,27.6
KY,Bell County,29.1
KY,Boone County,27.2
KY,Bourbon County,27.6
KY,Boyd County,27.3
KY,Boyle County,27
KY,Bracken County,26
KY,Breathitt County,28.3
KY,Breckinridge County,27.3
KY,Bullitt County,28.4
KY,Butler County,29.6
KY,Caldwell County,29.9
KY,Calloway County,30.9
KY,Campbell County,27.1
KY,Carlisle County,30.2
KY,Carroll County,28.1
KY,Carter County,26.2
KY,Casey County,28.4
KY,Christian County,31.9
KY,Clark County,28.3
KY,Clay County,29.1
KY,Clinton County,32.3
KY,Crittenden County,29
KY,Cumberland County,32.1
KY,Daviess County,27.8
KY,Edmonson County,29.8
KY,Elliott County,26.6
KY,Estill County,28.7
KY,Fayette County,27.9
KY,Fleming County,26.4
KY,Floyd County,28.7
KY,Franklin County,28.1
KY,Fulton County,30.8
KY,Gallatin County,28.1
KY,Garrard County,27.7
KY,Grant County,27.6
KY,Graves County,30.4
KY,Grayson County,28.5
KY,Green County,29
KY,Greenup County,26.2
KY,Hancock County,27.2
KY,Hardin County,28
KY,Harlan County,28.2
KY,Harrison County,27.2
KY,Hart County,28.8
KY,Henderson County,28
KY,Henry County,27.6
KY,Hickman County,30.5
KY,Hopkins County,29.9
KY,Jackson County,28.3
KY,Jefferson County,28.1
KY,Jessamine County,27.9
KY,Johnson County,27.8
KY,Kenton County,27.1
KY,Knott County,28.2
KY,Knox County,29.6
KY,Larue County,27.9
KY,Laurel County,29.4
KY,Lawrence County,27.6
KY,Lee County,28.6
KY,Leslie County,28.8
KY,Letcher County,27.7
KY,Lewis County,25.5
KY,Lincoln County,27.6
KY,Livingston County,29.4
KY,Logan County,31
KY,Lyon County,30.2
KY,McCracken County,29.8
KY,McCreary County,30.6
KY,McLean County,28.8
KY,Madison County,28.2
KY,Magoffin County,27.8
KY,Marion County,27.8
KY,Marshall County,30.4
KY,Martin County,28.7
KY,Mason County,25.4
KY,Meade County,27.2
KY,Menifee County,27.8
KY,Mercer County,27.5
KY,Metcalfe County,29.8
KY,Monroe County,30.9
KY,Montgomery County,28.2
KY,Morgan County,27.2
KY,Muhlenberg County,29.6
KY,Nelson County,28
KY,Nicholas County,27
KY,Ohio County,28.3
KY,Oldham County,26.9
KY,Owen County,28
KY,Owsley County,28.8
KY,Pendleton County,27
KY,Perry County,28.4
KY,Pike County,29
KY,Powell County,28.5
KY,Pulaski County,29.8
KY,Robertson County,26.2
KY,Rockcastle County,28.4
KY,Rowan County,26.5
KY,Russell County,31.2
KY,Scott County,27.7
KY,Shelby County,27.2
KY,Simpson County,31
KY,Spencer County,27.7
KY,Taylor County,28.6
KY,Todd County,31.7
KY,Trigg County,31.6
KY,Trimble County,27.4
KY,Union County,28
KY,Warren County,30.9
KY,Washington County,27.5
KY,Wayne County,31.5
KY,Webster County,28.8
KY,Whitley County,30.4
KY,Wolfe County,28
KY,Woodford County,28
LA,Acadia Parish,46.8
LA,Allen Parish,44.6
LA,Ascension Parish,46.7
LA,Assumption Parish,48.2
LA,Avoyelles Parish,43.2
LA,Beauregard Parish,44.8
LA,Bienville Parish,40
LA,Bossier Parish,40.5
LA,Caddo Parish,40.8
LA,Calcasieu Parish,47.4
LA,Caldwell Parish,40.4
LA,Cameron Parish,49.5
LA,Catahoula Parish,41.5
LA,Claiborne Parish,38.5
