G_ID,ZIP
25009213100,1921
25009221800,1930
25009223200,1938
25009212100,1949
25009268200,1950
25009203301,1945
25009210400,1960
25009220101,1966
25009216100,1984
25021402300,2026
25021402500,2027
25021410300,2035
25021410400,2035
25005610204,2048
25023506101,2050
25021413500,2062
25021413402,2062
25021408102,2053
25021456401,2072
25021412300,2090
25021411200,2081
25025030300,2114
25025010802,2116
25025010500,2115
25025120301,2119
25025090200,2121
25025080801,2120
25025090901,2125
25025100100,2124
25025092000,2124
25025100900,2126
25025060400,2127
25025060301,2127
25025040100,2129
25025050200,2128
25025130100,2132
25025120700,2130
25025081100,2130
25025110502,2131
25025000701,2134
25025000402,2135
25025000602,2135
25017352800,2139
25017354300,2138
25017354800,2140
25017354600,2140
25017354900,2140
25017351100,2143
25025170502,2151
25025160601,2150
25017339200,2155
25025180200,2152
25021418003,2169
25017337201,2180
25017336402,2176
25021422800,2191
25021422302,2190
25021422302,2189
25021422502,2189
25023523202,2333
25023525203,2324
25023525104,2324
25023503102,2339
25023520201,2351
25023508101,2359
25023509102,2364
25017358600,2420
25017358600,2421
25017358500,2420
25021400100,2446
25021400400,2446
25021400500,2446
25021400700,2445
25017373100,2458
25017369100,2453
25017374200,2464
25017370202,2472
25017357800,2478
25017356500,2476
25017357500,2478
25017370400,2472
25021404100,2481
25021403400,2492
25001014500,2536
25001013900,2532
25007200300,2539
25019950400,2554
25001012602,2601
25001012700,2601
25001010900,2631
25001011400,2638
25001013200,2635
25001013200,2648
25001011100,2645
25001011802,2675
25001011002,2671
25005614102,2718
25005642100,2720
25005642000,2720
25005640200,2724
25005640500,2724
25005640600,2721
25005640901,2721
25005651001,2740
25005652400,2740
25005651900,2744
25005654200,2743
25005651900,2740
25005651800,2742
25005632100,2771
25005645101,2777
25005633100,2769
25005611101,2766
25005645102,2777
44001030800,2809
44007013101,2814
44003020703,2816
44003020901,2818
44003022201,2818
44005041000,2840
44007016300,2860
44007016100,2860
44007016600,2860
44007015400,2860
44007015300,2860
44007016800,2861
44007011200,2864
44007011402,2864
44005041601,2878
44005041702,2878
44009051202,2879
44009051306,2879
44003021300,2888
44003021200,2888
44003021902,2886
44003022300,2886
44003021402,2889
44003021502,2889
44009050901,2891
44009051306,2892
44007017900,2895
44007017300,2895
44003020101,2893
44007017700,2895
44007012801,2896
44007003602,2903
44007000600,2903
44007000700,2903
44007003500,2906
44007002101,2908
44007001900,2909
44007013701,2910
44007001700,2909
44007002200,2909
44007010400,2914
44007010200,2914
44007012103,2911
33015003400,3038
44007002900,2940
33013030000,3046
33011016100,3055
33011014201,3054
33015003801,3053
33015003703,3053
33011010700,3061
33011011500,3062
33015100301,3079
33011010500,3064
33011002500,3103
33011002000,3102
33011002600,3109
33013037000,3224
33001966401,3249
33009961000,3264
33001965400,3269
33013032400,3301
33013044000,3276
33013044300,3303
33005970700,3447
33007950600,3570
33005970800,3465
33005970600,3461
33007950200,3576
33007950400,3590
33009960200,3586
33019975800,3743
33009960300,3740
33019975300,3782
33015069300,3801
33003955600,3818
33015103100,3811
33003955900,3814
33015104101,3826
33015061001,3833
33015060000,3833
33015062000,3833
33017088000,3851
33017088500,3855
33015107500,3840
33017084300,3867
33015063002,3874
23031036001,3909
23031032000,3901
23005016000,4009
23005016500,4029
23005004502,4032
23005004001,4038
23005014000,4055
23031024000,4087
23005017002,4084
