zip,USAC_Gender,USAC_Age,Road_Cat,Track_Cat, XC_Cat, DH_Cat, OT_Cat, MX_Cat, Cross_Cat
46278,M,52,4,4,2,2,3,2,3
99203,M,49,3,3,1,1,2,1,2
91320,M,55,4,4,2,2,3,2,4
91320,F,56,4,4,2,1,3,1,3
94590,M,62,4,4,3,3,3,3,4
12550,M,57,4,5,1,2,3,2,3
92677,M,57,5,5,3,3,3,3,3
2860,M,58,3,3,2,2,3,2,3
68512,M,54,2,4,1,1,3,1,2
44040,M,47,4,4,2,2,3,2,3
2474,M,52,3,5,2,3,3,2,3
76244,M,53,4,4,3,3,3,3,4
43015,M,44,2,5,3,3,3,3,3
14616,M,69,3,3,2,3,3,3,3
30345,M,52,3,4,2,2,3,2,3
48657,M,53,5,5,2,2,3,2,5
93023,M,59,5,5,1,1,3,1,4
76226,M,60,5,5,3,3,3,3,4
1760,M,41,3,5,1,1,1,1,3
80439,M,61,4,5,1,2,2,2,3
97703,M,69,4,5,1,1,1,1,5
73034,M,45,5,5,1,1,1,1,1
2061,M,59,4,4,1,3,3,3,3
8904,M,48,3,4,3,3,3,3,3
94939,M,51,3,4,1,2,3,2,5
84060,M,59,5,5,3,3,3,3,5
2332,M,53,3,5,1,1,3,1,3
19348,M,52,3,4,2,2,3,2,4
10598,M,51,3,4,1,1,3,1,3
95030,M,49,3,5,1,1,1,1,1
43560,M,54,1,5,1,3,2,3,1
91040,M,64,3,4,2,2,3,2,4
93405,M,46,1,3,3,3,3,3,2
80487,M,51,3,5,1,2,3,2,1
1721,M,52,5,5,2,2,3,2,4
75070,M,55,1,1,1,1,3,1,1
3031,M,53,3,4,1,2,3,2,2
85142,M,52,5,5,1,1,3,3,3
80524,M,53,4,5,2,2,3,2,3
37205,M,60,3,4,2,3,3,3,3
91320,M,57,3,5,1,1,3,1,3
84025,M,37,4,5,2,3,3,3,4
76116,M,58,3,4,1,2,3,2,3
30655,M,63,5,5,1,1,3,1,3
26508,F,46,2,4,2,3,3,3,1
94552,M,49,3,4,3,3,3,3,3
80304,M,55,2,4,1,1,3,1,2
95926,M,51,3,5,1,1,3,1,4
87042,M,59,3,2,1,1,1,1,1
12443,M,56,4,5,2,3,3,3,4
73160,M,42,3,2,1,1,3,1,1
80210,M,50,3,4,1,1,3,1,2
92630,M,55,2,5,1,1,2,1,1
92008,M,55,1,2,1,1,1,1,1
89449,M,61,4,5,1,3,3,3,3
23220,M,48,5,5,2,2,3,2,2
10026,M,49,4,4,3,3,3,3,4
7452,M,60,3,5,3,3,3,3,4
23454,M,58,4,5,2,2,2,2,4
60051,M,48,5,5,2,3,2,2,5
78250,M,70,5,5,1,2,3,2,3
22207,M,43,4,5,2,2,3,2,4
22207,M,46,5,5,2,2,3,2,4
78735,M,60,3,4,1,2,3,3,3
84121,M,61,3,4,1,1,3,1,3
95112,M,51,3,5,1,1,1,1,3
87124,M,43,3,5,1,2,3,2,3
94303,M,45,2,5,3,3,3,3,5
10463,M,64,3,4,3,3,3,3,4
78703,M,58,2,4,1,1,1,1,2
74114,M,63,3,4,2,2,3,2,2
98406,M,51,4,4,1,2,3,2,3
29365,M,50,1,4,1,1,1,1,1
94707,M,70,4,4,3,3,3,3,4
72916,F,61,4,4,1,2,3,2,3
91360,M,50,2,4,1,2,3,2,2
6762,M,56,5,5,1,2,2,2,4
11560,M,55,2,4,3,3,3,3,3
7874,M,58,3,3,2,2,2,2,4
92025,M,58,4,3,2,2,3,2,4
6778,M,52,4,5,1,2,3,2,5
85284,M,43,5,5,3,3,3,3,5
74075,M,48,3,4,2,2,2,2,3
12850,M,52,4,4,2,2,3,2,4
92660,F,59,1,4,1,2,3,2,2
43035,M,48,5,5,2,3,3,3,4
27344,M,59,3,5,3,3,3,3,3
7043,M,57,3,4,3,3,2,3,3
60045,M,61,2,3,1,2,3,2,2
97703,M,54,2,5,1,1,3,1,1
21078,F,50,2,4,1,1,1,1,3
92506,M,49,1,5,1,1,1,3,1
59715,M,57,3,4,1,3,3,3,3
8540,M,59,2,4,3,3,3,3,2
97210,M,49,2,4,1,1,2,1,3
67422,M,67,3,4,2,2,3,2,5
2460,M,56,3,4,3,3,3,3,4
73099,M,59,4,4,2,3,3,3,4
4097,M,45,3,5,1,3,3,3,3
38018,F,61,4,4,2,2,3,2,4
98105,M,55,4,3,2,2,2,2,3
33173,M,71,5,5,2,3,3,3,5
54481,M,54,3,5,1,1,3,1,1
99337,M,53,2,4,3,3,3,3,2
99362,M,47,3,5,2,2,2,2,3
84158,M,57,2,4,2,2,3,2,2
92603,M,52,4,4,3,3,3,3,5
23456,M,54,2,4,3,3,3,3,2
96734,M,63,3,3,3,3,3,3,3
14818,M,46,3,5,2,2,2,3,3
60115,M,50,1,5,2,2,2,2,1
29615,M,48,3,5,1,2,3,2,3
92672,M,59,3,4,1,2,1,2,3
2186,M,69,4,4,3,3,3,3,4
85207,M,55,2,5,1,1,3,1,3
66062,M,61,3,4,2,2,3,2,3
20009,M,49,2,3,2,2,2,2,2
84098,M,50,1,4,1,1,3,1,1
74105,M,45,3,5,1,1,3,1,3
83702,M,60,2,2,1,1,3,1,3
80304,M,63,2,5,3,3,3,3,3
95648,F,48,2,4,1,1,2,1,1
80241,M,54,2,5,1,1,1,1,2
7920,M,56,3,2,2,2,3,2,2
77381,M,59,3,5,1,2,3,2,3
6708,M,54,4,4,2,2,3,2,4
21131,M,47,5,5,1,3,3,3,4
95118,M,49,2,4,2,2,3,2,3
80503,M,49,1,3,1,1,3,1,3
59701,M,60,3,5,2,3,3,3,3
74114,M,43,1,1,2,2,3,2,1
84121,M,63,3,5,1,1,1,1,3
47401,M,48,2,3,1,1,3,1,2
98083,M,74,3,4,1,1,1,1,3
93950,M,65,5,5,2,2,3,2,4
77007,M,62,3,2,1,1,1,3,3
44057,M,61,3,5,2,2,2,2,2
40502,M,49,3,4,1,1,3,1,3
6492,M,61,4,4,2,2,3,2,5
72903,M,56,4,5,2,3,3,3,5
66043,M,56,5,5,1,3,3,3,3
40207,M,48,2,3,1,1,3,1,3
80108,M,63,2,4,1,1,3,1,3
10011,M,54,3,5,3,3,3,3,5
76904,M,70,4,5,2,3,3,3,3
95404,F,53,3,4,1,1,2,1,3
98229,M,56,3,5,1,1,2,1,2
74132,M,53,2,4,2,2,2,2,3
95842,M,57,2,4,1,1,3,1,2
36206,M,52,4,5,2,2,3,3,3
2780,M,63,3,3,1,1,2,1,3
29205,M,52,3,5,2,2,2,2,3
55416,M,49,3,5,1,2,2,2,2
98310,M,48,1,4,3,3,3,3,1
94708,M,42,3,4,1,2,3,2,1
80439,M,72,3,4,3,3,3,3,3
92078,M,42,2,3,1,1,3,1,1
96162,M,67,5,5,3,3,3,3,3
94702,M,80,3,4,1,2,3,2,3
11735,M,59,4,4,2,2,2,2,4
29302,M,55,3,4,2,2,3,2,3
23225,M,51,3,4,3,3,3,3,2
78751,M,48,3,5,1,1,3,1,3
92251,M,60,3,5,2,2,2,2,4
53594,M,50,5,5,1,3,3,3,2
62034,M,51,1,1,2,1,3,1,1
75092,M,56,4,4,1,2,3,2,3
98118,M,45,2,5,1,2,3,2,2
84108,M,58,1,4,1,2,2,3,1
14564,M,51,4,5,1,1,3,1,3
75033,M,50,1,1,1,1,1,3,1
30101,M,45,5,5,3,3,3,3,4
20636,M,49,3,5,2,3,3,3,3
92109,M,54,5,5,2,3,3,3,5
92584,M,51,5,5,2,2,3,2,4
87505,M,64,4,5,1,2,3,2,3
24153,M,39,2,5,2,3,3,3,2
80501,M,65,3,4,2,3,3,3,5
1775,M,54,5,5,2,3,3,2,3
97702,M,43,1,5,1,1,2,1,1
93907,M,52,2,5,1,1,1,1,3
1462,M,58,4,4,2,2,3,2,4
21228,M,71,5,5,3,3,3,3,5
95630,M,50,2,5,1,2,3,2,2
95148,M,52,1,2,1,1,3,1,1
91710,M,47,1,3,2,2,3,2,2
8691,M,56,3,3,2,2,3,2,3
46176,M,62,3,2,2,2,3,2,3
17319,M,55,4,4,2,2,3,2,4
7840,M,49,3,5,1,1,2,1,2
91214,M,65,3,2,3,3,3,3,3
6854,M,49,3,3,1,3,3,3,3
92584,M,55,3,3,2,2,2,2,3
91360,M,52,3,5,2,2,3,3,3
7605,M,56,1,2,2,2,2,2,1
17022,M,67,4,5,1,3,3,3,2
26501,M,61,4,5,2,2,3,2,4
6492,M,60,3,4,3,3,3,3,3
22201,M,42,1,5,1,2,3,2,1
80401,M,67,4,4,2,2,3,2,4
80113,M,46,1,4,3,3,3,3,2
28712,M,42,3,5,1,2,2,2,2
95630,M,49,2,5,2,2,3,2,3
94117,M,50,2,4,1,1,3,1,2
11215,M,50,4,5,2,2,3,2,5
32804,M,46,2,3,1,1,3,3,3
89511,M,44,2,4,1,1,3,1,1
30263,M,52,5,5,3,3,3,3,5
87043,M,66,4,4,2,2,3,2,3
52003,M,70,3,4,1,3,3,2,3
19003,M,54,3,5,1,2,3,3,3
72758,M,57,4,4,2,2,2,2,4
1886,M,54,3,4,1,2,3,2,3
82414,M,52,5,5,1,3,2,3,3
1082,M,52,2,4,1,1,3,1,1
22308,M,65,3,4,3,3,3,3,5
95030,M,50,2,5,1,1,1,1,1
2111,M,52,5,5,3,3,3,3,4
85306,M,62,3,4,3,3,3,3,3
45140,M,52,5,5,3,3,3,3,4
90254,M,60,4,4,2,2,2,2,4
53508,M,62,2,3,1,1,3,1,2
81657,M,48,1,4,1,1,2,1,2
93105,M,56,4,5,2,3,3,3,4
8822,M,48,2,4,3,3,3,3,4
44044,M,49,4,4,3,3,3,3,5
32825,M,42,2,2,3,3,3,3,3
60076,M,42,2,4,1,3,3,3,2
2644,M,62,5,5,3,3,3,3,4
80504,M,43,3,4,1,3,3,3,3
15061,M,64,4,5,3,3,3,3,3
