zip,Total_racers,Male_Racers,Female_Racers,Junior_Racers,Elite_Racers,Master_Racers,Pro_Road_Racers,Pro_MTB_Racers,Pro_Track_Racers,Pro_Cross_Racers,Mid_Road_Racers,Mid_MTB_Racers,Mid_Track_Racers,Mid_Cross_Racers
20613,3,2,1,0,0,3,0,0,0,0,0,3,0,0
20616,1,0,1,0,0,1,0,0,0,0,0,1,0,0
20634,2,2,0,0,1,1,0,0,0,0,0,2,0,0
20636,2,2,0,1,0,1,0,1,0,0,1,2,0,1
20639,2,2,0,0,1,1,0,0,0,0,0,2,0,0
20646,2,1,1,0,1,1,0,0,0,0,0,2,0,1
20650,2,2,0,0,0,2,1,1,0,1,0,2,0,0
20653,5,5,0,0,3,2,3,1,1,0,1,4,0,1
20657,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20658,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20667,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20677,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20678,1,1,0,1,0,0,0,0,0,0,0,1,0,0
20688,2,1,1,0,2,0,0,0,0,0,0,2,0,0
20695,2,1,1,1,0,1,0,0,0,0,0,2,0,0
20705,2,2,0,0,1,1,0,0,0,0,0,2,0,0
20706,2,2,0,1,0,1,1,0,0,0,0,2,0,0
20707,2,2,0,0,1,1,0,0,0,0,1,2,0,0
20708,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20711,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20712,1,1,0,0,1,0,0,0,0,0,1,1,0,0
20714,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20715,3,3,0,0,2,1,0,1,0,1,1,3,0,0
20716,1,1,0,0,0,1,0,1,0,1,1,1,0,0
20720,3,3,0,0,1,2,0,0,0,0,0,3,0,0
20721,3,2,1,0,0,3,0,0,0,0,1,3,0,0
20722,2,2,0,0,0,2,1,1,0,1,0,2,0,0
20723,6,5,1,2,0,4,0,2,0,0,0,5,0,0
20724,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20732,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20735,1,1,0,0,1,0,0,0,0,0,1,1,0,0
20737,2,1,1,0,0,2,1,1,0,1,0,1,0,0
20740,8,8,0,0,6,2,1,1,0,0,3,8,0,1
20743,1,0,1,1,0,0,0,0,0,0,0,1,0,0
20744,3,2,1,0,0,3,0,1,0,0,1,3,0,0
20747,3,1,2,0,0,3,0,0,0,0,0,3,0,0
20748,1,1,0,0,1,0,1,0,0,1,0,1,0,0
20751,1,1,0,0,0,1,1,0,0,0,0,1,0,0
20754,1,0,1,1,0,0,0,0,0,0,0,1,0,0
20755,1,1,0,0,0,1,0,1,0,0,0,1,0,0
20758,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20759,4,4,0,0,1,3,0,1,0,0,2,4,0,2
20762,1,1,0,0,0,1,0,1,0,0,0,1,0,0
20763,1,0,1,0,1,0,0,0,0,0,0,1,0,0
20769,2,2,0,0,1,1,0,0,0,0,0,2,0,0
20770,6,6,0,0,3,3,2,0,0,0,0,6,0,1
20772,5,3,2,0,0,5,0,0,0,0,0,5,0,0
20774,6,4,2,1,1,4,0,0,0,0,1,6,0,1
20781,6,5,1,1,3,2,0,1,0,0,0,6,0,2
20782,3,3,0,0,3,0,0,1,0,1,1,3,0,0
20783,3,3,0,0,1,2,1,1,0,0,1,3,0,1
20784,2,2,0,0,1,1,0,0,0,0,0,2,0,0
20785,2,2,0,0,0,2,0,0,0,0,1,2,0,0
20794,2,2,0,0,2,0,0,0,0,0,1,2,0,1
20812,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20814,23,19,4,4,6,13,7,5,1,6,3,23,0,5
20815,38,32,6,12,12,14,7,2,1,2,6,37,2,10
20816,15,15,0,5,3,7,1,0,0,0,2,15,0,2
20817,48,39,9,21,5,22,2,3,0,3,8,47,0,6
20818,2,2,0,1,0,1,0,0,0,0,0,2,0,0
20832,9,5,4,3,5,1,2,0,0,0,1,9,1,3
20833,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20837,3,2,1,1,0,2,0,0,0,0,1,3,0,2
20841,3,3,0,1,0,2,0,0,0,0,0,3,0,0
20850,11,10,1,2,4,5,0,0,0,0,2,11,0,2
20851,2,2,0,0,2,0,1,1,0,1,0,2,0,0
20852,13,12,1,4,3,6,0,1,0,1,3,12,0,1
20853,3,3,0,0,3,0,2,1,0,1,0,3,0,1
20854,15,14,1,5,2,8,0,1,0,0,2,15,0,1
20855,4,4,0,0,1,3,1,2,0,0,1,4,0,1
20861,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20866,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20871,5,5,0,3,0,2,0,0,0,0,0,5,0,0
20872,2,2,0,0,1,1,0,1,0,0,1,2,0,0
